plot_code;year;n_stations;n_stations_seed;n_sations_open;n_stations_seed_open;seed_den;cra_mon _den;ile_aqu_den;ros_can_den;rub_fru_den;sam_nig_den;sor_ari_den;sor_auc_den;tax_bac_den
B1;2012_2013;108;36;101;29;54.28;15.17;7.42;0.40;31.29;0.00;0.00;0.00;0.00
B2;2012_2013;108;56;59;14;202.18;30.08;24.46;1.21;145.78;0.00;0.00;0.64;0.00
B3;2012_2013;108;68;35;7;112.53;15.38;57.58;3.21;34.38;1.98;0.00;0.00;0.00
B4;2012_2013;108;66;67;25;149.21;55.58;64.06;1.34;28.22;0.00;0.00;0.00;0.00
G1;2012_2013;108;29;86;10;69.44;42.40;26.27;0.00;0.12;0.00;0.00;0.00;0.66
G2;2012_2013;108;64;65;26;128.22;58.50;29.80;0.00;36.59;3.32;0.00;0.00;0.00
G3;2012_2013;108;61;37;4;143.99;37.01;65.33;1.46;35.65;4.55;0.00;0.00;0.00
M1;2012_2013;108;72;30;5;302.96;18.51;97.39;0.24;185.97;0.85;0.00;0.00;0.00
M2;2012_2013;108;37;83;13;107.23;23.17;29.28;0.00;54.78;0.00;0.00;0.00;0.00
M3;2012_2013;108;85;19;3;220.86;16.57;132.58;2.78;68.80;0.13;0.00;0.00;0.00
P1;2012_2013;108;47;75;14;125.18;8.80;43.90;0.00;17.01;0.40;0.00;1.06;54.01
P2;2012_2013;108;49;55;3;82.22;8.93;14.69;0.00;30.87;5.02;0.00;0.00;22.70
P3;2012_2013;108;20;93;6;56.52;11.89;43.52;0.00;0.72;0.00;0.00;0.00;0.40
P4;2012_2013;108;75;7;1;104.01;21.25;40.61;0.00;0.13;0.00;0.00;0.26;41.76
B1;2013_2014;108;22;101;15;80.15;5.39;48.10;0.00;26.54;0.13;0.00;0.00;0.00
B2;2013_2014;108;63;59;19;229.10;43.44;80.35;1.62;76.19;0.00;2.58;24.92;0.00
B3;2013_2014;108;82;35;12;462.71;15.86;389.85;2.22;36.94;9.52;0.00;8.32;0.00
B4;2013_2014;108;65;67;27;325.32;13.92;277.64;0.51;32.49;0.00;0.00;0.76;0.00
G1;2013_2014;108;32;86;10;111.49;64.37;46.31;0.00;0.35;0.46;0.00;0.00;0.00
G2;2013_2014;108;58;65;20;208.30;106.48;83.18;0.00;17.31;1.32;0.00;0.00;0.00
G3;2013_2014;108;57;37;2;255.93;77.42;159.79;1.32;16.07;1.19;0.00;0.00;0.13
M1;2013_2014;108;82;30;10;557.82;2.12;406.12;0.00;149.59;0.00;0.00;0.00;0.00
M2;2013_2014;108;46;83;24;251.03;2.30;216.57;0.00;32.16;0.00;0.00;0.00;0.00
M3;2013_2014;108;88;19;4;867.70;11.24;781.50;0.13;74.82;0.00;0.00;0.00;0.00
P1;2013_2014;108;55;75;23;213.11;14.28;170.10;0.00;9.33;0.00;0.00;1.27;18.13
P2;2013_2014;108;55;55;8;220.92;48.20;117.46;0.00;40.82;1.31;0.23;0.26;12.63
P3;2013_2014;108;25;93;13;170.66;9.70;160.70;0.00;0.00;0.00;0.00;0.00;0.26
P4;2013_2014;108;89;7;1;418.30;47.65;364.96;0.00;0.00;0.00;1.59;0.13;3.97
